name,url,avatar,type,description,deleted,last_updated_by,last_updated_at,created_by,created_at
"VnExpress","https://vnexpress.net","",1,"Báo điện tử VnExpress",false,admin,1732944000000,admin,1732944000000
"Dân Trí","https://dantri.com.vn","",1,"Báo điện tử Dân Trí",false,admin,1732944000000,admin,1732944000000
"Vietnamnet","https://vietnamnet.vn","",1,"Báo điện tử Vietnamnet",false,admin,1732944000000,admin,1732944000000
"Người Lao Động","https://laodong.vn","",1,"Báo Người Lao Động",false,admin,1732944000000,admin,1732944000000
"Người Đưa Tin","https://nguoiduatin.vn","",1,"Báo Người Đưa Tin",false,admin,1732944000000,admin,1732944000000
"Tuổi Trẻ","https://tuoitre.vn","",1,"Báo Tuổi Trẻ",false,admin,1732944000000,admin,1732944000000
"Thanh Niên","https://thanhnien.vn","",1,"Báo Thanh Niên",false,admin,1732944000000,admin,1732944000000
"Nhân Dân","https://nhandan.vn","",1,"Báo Nhân Dân",false,admin,1732944000000,admin,1732944000000
"Kenh14","https://kenh14.vn","",1,"Trang tin giới trẻ Kenh14",false,admin,1732944000000,admin,1732944000000
"Tiền Phong","https://tienphong.vn","",1,"Báo Tiền Phong",false,admin,1732944000000,admin,1732944000000
