name,url,rss_url,description,deleted,last_updated_by,last_updated_at,created_by,created_at,source_id
"Thời sự","https://vnexpress.net/thoi-su","https://vnexpress.net/rss/thoi-su.rss","Chuyên mục thời sự của VnExpress",false,admin,1732944000000,admin,1732944000000,1
"Kinh doanh","https://vnexpress.net/kinh-doanh","https://vnexpress.net/rss/kinh-doanh.rss","Kinh doanh - VnExpress",false,admin,1732944000000,admin,1732944000000,1
"Thế giới","https://vnexpress.net/the-gioi","https://vnexpress.net/rss/the-gioi.rss","Tin thế giới - VnExpress",false,admin,1732944000000,admin,1732944000000,1
"Giải trí","https://vnexpress.net/giai-tri","https://vnexpress.net/rss/giai-tri.rss","Giải trí VnExpress",false,admin,1732944000000,admin,1732944000000,1
"Sức khỏe","https://vnexpress.net/suc-khoe","https://vnexpress.net/rss/suc-khoe.rss","Sức khỏe VnExpress",false,admin,1732944000000,admin,1732944000000,1
"Giáo dục","https://vnexpress.net/giao-duc","https://vnexpress.net/rss/giao-duc.rss","Giáo dục VnExpress",false,admin,1732944000000,admin,1732944000000,1
"Công nghệ","https://vnexpress.net/so-hoa","https://vnexpress.net/rss/so-hoa.rss","Công nghệ VnExpress",false,admin,1732944000000,admin,1732944000000,1
"Thể thao","https://vnexpress.net/the-thao","https://vnexpress.net/rss/the-thao.rss","Thể thao VnExpress",false,admin,1732944000000,admin,1732944000000,1

"Thời sự","https://dantri.com.vn/xa-hoi.htm","https://dantri.com.vn/xa-hoi.rss","Thời sự - Dân Trí",false,admin,1732944000000,admin,1732944000000,2
"Kinh doanh","https://dantri.com.vn/kinh-doanh.htm","https://dantri.com.vn/kinh-doanh.rss","Kinh doanh - Dân Trí",false,admin,1732944000000,admin,1732944000000,2
"Giáo dục","https://dantri.com.vn/giao-duc.htm","https://dantri.com.vn/giao-duc.rss","Giáo dục - Dân Trí",false,admin,1732944000000,admin,1732944000000,2
"Thể thao","https://dantri.com.vn/the-thao.htm","https://dantri.com.vn/the-thao.rss","Thể thao - Dân Trí",false,admin,1732944000000,admin,1732944000000,2
"Pháp luật","https://dantri.com.vn/phap-luat.htm","https://dantri.com.vn/phap-luat.rss","Pháp luật - Dân Trí",false,admin,1732944000000,admin,1732944000000,2
"Sức khỏe","https://dantri.com.vn/suc-khoe.htm","https://dantri.com.vn/suc-khoe.rss","Sức khỏe - Dân Trí",false,admin,1732944000000,admin,1732944000000,2
"Giai trí","https://dantri.com.vn/giai-tri.htm","https://dantri.com.vn/giai-tri.rss","Giải trí - Dân Trí",false,admin,1732944000000,admin,1732944000000,2
"Thế giới","https://dantri.com.vn/the-gioi.htm","https://dantri.com.vn/the-gioi.rss","Thế giới - Dân Trí",false,admin,1732944000000,admin,1732944000000,2

"Thời sự","https://vietnamnet.vn/thoi-su","https://vietnamnet.vn/rss/thoi-su.rss","Thời sự Vietnamnet",false,admin,1732944000000,admin,1732944000000,3
"Thế giới","https://vietnamnet.vn/the-gioi","https://vietnamnet.vn/rss/the-gioi.rss","Thế giới Vietnamnet",false,admin,1732944000000,admin,1732944000000,3
"Kinh doanh","https://vietnamnet.vn/kinh-doanh","https://vietnamnet.vn/rss/kinh-doanh.rss","Kinh doanh Vietnamnet",false,admin,1732944000000,admin,1732944000000,3
"Công nghệ","https://vietnamnet.vn/cong-nghe","https://vietnamnet.vn/rss/cong-nghe.rss","Công nghệ Vietnamnet",false,admin,1732944000000,admin,1732944000000,3
"Đời sống","https://vietnamnet.vn/doi-song","https://vietnamnet.vn/rss/doi-song.rss","Đời sống Vietnamnet",false,admin,1732944000000,admin,1732944000000,3
"Giải trí","https://vietnamnet.vn/giai-tri","https://vietnamnet.vn/rss/giai-tri.rss","Giải trí Vietnamnet",false,admin,1732944000000,admin,1732944000000,3
